Model Type,Seed,Epoch,Loss,Train Acc,Val Acc,Test Acc
convnext_base,3,1,0.6985075031773428,0.6314606741573033,0.5675675675675675,0.5714285714285714
convnext_base,3,2,0.6654685166444672,0.6887640449438203,0.5585585585585585,0.6339285714285714
convnext_base,3,3,0.6397530798161968,0.702247191011236,0.6036036036036037,0.6696428571428571
convnext_base,3,4,0.6261049221070965,0.7303370786516854,0.6036036036036037,0.6964285714285714
convnext_base,3,5,0.6094486391946171,0.7415730337078652,0.6036036036036037,0.7053571428571429
convnext_base,3,6,0.5955541977721653,0.7393258426966293,0.6036036036036037,0.7142857142857143
convnext_base,3,7,0.5788703453674745,0.7415730337078652,0.5945945945945946,0.7053571428571429
convnext_base,3,8,0.5735467451342037,0.7415730337078652,0.6126126126126126,0.7053571428571429
convnext_base,3,9,0.5560161250360897,0.7471910112359551,0.6126126126126126,0.6964285714285714
convnext_base,3,10,0.5552273680654805,0.7528089887640449,0.6216216216216216,0.6964285714285714
convnext_base,2,1,0.6874103325136592,0.7179775280898877,0.05405405405405406,0.044642857142857144
convnext_base,2,2,0.626990557386634,0.7460674157303371,0.018018018018018018,0.017857142857142856
convnext_base,2,3,0.5942401256454125,0.7460674157303371,0.018018018018018018,0.026785714285714284
convnext_base,2,4,0.5651586738865028,0.7471910112359551,0.036036036036036036,0.026785714285714284
convnext_base,2,5,0.5501489224058859,0.750561797752809,0.05405405405405406,0.07142857142857142
convnext_base,2,1,0.7126662376221646,0.5516853932584269,0.46846846846846846,0.48214285714285715
convnext_base,2,2,0.6777394092484806,0.7134831460674157,0.6396396396396397,0.7053571428571429
convnext_base,2,3,0.662743676914258,0.7134831460674157,0.6756756756756757,0.7410714285714286
convnext_base,2,4,0.6279224565859591,0.7213483146067415,0.6846846846846847,0.7410714285714286
convnext_base,2,5,0.6152679123235553,0.7213483146067415,0.6936936936936937,0.7321428571428571
convnext_base,2,1,0.6895313557614101,0.648314606741573,0.6576576576576577,0.7053571428571429
convnext_base,2,2,0.67459914389621,0.6943820224719102,0.6576576576576577,0.75
convnext_base,2,3,0.6545820396937682,0.7033707865168539,0.6936936936936937,0.7321428571428571
convnext_base,2,4,0.6319891361708052,0.7078651685393258,0.6936936936936937,0.7410714285714286
convnext_base,2,5,0.618580729773875,0.7078651685393258,0.6846846846846847,0.7410714285714286
convnext_base,2,6,0.6057588967044701,0.7078651685393258,0.6846846846846847,0.7410714285714286
convnext_base,2,7,0.6061772751004508,0.7202247191011236,0.6936936936936937,0.7142857142857143
convnext_base,2,8,0.5831283183580034,0.7258426966292135,0.7027027027027027,0.7232142857142857
convnext_base,2,9,0.5762159509605236,0.7314606741573034,0.7027027027027027,0.7232142857142857
convnext_base,2,10,0.5718888037660149,0.7382022471910112,0.7117117117117117,0.7142857142857143
convnext_base,2,11,0.5739666196737396,0.748314606741573,0.7117117117117117,0.7321428571428571
convnext_base,2,12,0.5525199831201789,0.750561797752809,0.7117117117117117,0.7321428571428571
convnext_base,2,13,0.5530126402887066,0.755056179775281,0.7207207207207207,0.7232142857142857
convnext_base,2,14,0.5508050101526668,0.7584269662921348,0.7207207207207207,0.7232142857142857
convnext_base,2,15,0.5392914983663666,0.7662921348314606,0.6846846846846847,0.7321428571428571
convnext_base,2,16,0.5314240790484996,0.7662921348314606,0.7207207207207207,0.7232142857142857
convnext_base,2,17,0.52741292554341,0.7719101123595505,0.7027027027027027,0.7232142857142857
convnext_base,2,18,0.5234226068753874,0.7764044943820225,0.6936936936936937,0.7232142857142857
convnext_base,2,19,0.5169001536422901,0.7786516853932585,0.7117117117117117,0.7321428571428571
convnext_base,2,20,0.5067596629764257,0.7865168539325843,0.6936936936936937,0.6964285714285714
convnext_base,2,21,0.510957145958804,0.7955056179775281,0.6936936936936937,0.7232142857142857
convnext_base,2,22,0.4832062024748727,0.8101123595505618,0.7027027027027027,0.7321428571428571
convnext_base,2,23,0.4801480585939429,0.8157303370786517,0.6936936936936937,0.7142857142857143
convnext_base,2,24,0.4855665825725941,0.8179775280898877,0.6846846846846847,0.7232142857142857
convnext_base,2,25,0.4724716788597321,0.8235955056179776,0.6756756756756757,0.7142857142857143
convnext_base,2,26,0.455874252855108,0.8303370786516854,0.6936936936936937,0.6785714285714286
convnext_base,2,27,0.4452330567193835,0.8393258426966292,0.6936936936936937,0.7321428571428571
convnext_base,2,28,0.43616690829898536,0.851685393258427,0.6936936936936937,0.7053571428571429
convnext_base,2,1,0.6895313557614101,0.648314606741573,0.6576576576576577,0.7053571428571429
convnext_base,2,2,0.67459914389621,0.6943820224719102,0.6576576576576577,0.75
convnext_base,2,3,0.6545820396937682,0.7033707865168539,0.6936936936936937,0.7321428571428571
convnext_base,2,4,0.6319891361708052,0.7078651685393258,0.6936936936936937,0.7410714285714286
convnext_base,2,5,0.618580729773875,0.7078651685393258,0.6846846846846847,0.7410714285714286
convnext_base,2,6,0.6057588967044701,0.7078651685393258,0.6846846846846847,0.7410714285714286
convnext_base,2,7,0.6061772751004508,0.7202247191011236,0.6936936936936937,0.7142857142857143
convnext_base,2,8,0.5831283183580034,0.7258426966292135,0.7027027027027027,0.7232142857142857
convnext_base,2,9,0.5762159509605236,0.7314606741573034,0.7027027027027027,0.7232142857142857
convnext_base,2,10,0.5718888037660149,0.7382022471910112,0.7117117117117117,0.7142857142857143
convnext_base,2,11,0.5739666196737396,0.748314606741573,0.7117117117117117,0.7321428571428571
convnext_base,2,12,0.5525199831201789,0.750561797752809,0.7117117117117117,0.7321428571428571
convnext_base,2,13,0.5530126402887066,0.755056179775281,0.7207207207207207,0.7232142857142857
convnext_base,2,14,0.5508050101526668,0.7584269662921348,0.7207207207207207,0.7232142857142857
convnext_base,2,15,0.5392914983663666,0.7662921348314606,0.6846846846846847,0.7321428571428571
convnext_base,2,16,0.5314240790484996,0.7662921348314606,0.7207207207207207,0.7232142857142857
convnext_base,2,17,0.52741292554341,0.7719101123595505,0.7027027027027027,0.7232142857142857
convnext_base,2,18,0.5234226068753874,0.7764044943820225,0.6936936936936937,0.7232142857142857
convnext_base,2,19,0.5169001536422901,0.7786516853932585,0.7117117117117117,0.7321428571428571
convnext_base,2,20,0.5067596629764257,0.7865168539325843,0.6936936936936937,0.6964285714285714
convnext_base,2,21,0.510957145958804,0.7955056179775281,0.6936936936936937,0.7232142857142857
convnext_base,2,22,0.4832062024748727,0.8101123595505618,0.7027027027027027,0.7321428571428571
convnext_base,2,23,0.4801480585939429,0.8157303370786517,0.6936936936936937,0.7142857142857143
convnext_base,2,24,0.4855665825725941,0.8179775280898877,0.6846846846846847,0.7232142857142857
convnext_base,2,25,0.4724716788597321,0.8235955056179776,0.6756756756756757,0.7142857142857143
convnext_base,9,1,0.6650317612658726,0.6831460674157304,0.7027027027027027,0.75
convnext_base,9,2,0.602753850181451,0.7157303370786516,0.6936936936936937,0.7767857142857143
convnext_base,9,3,0.5818080821733796,0.7325842696629213,0.7117117117117117,0.7410714285714286
convnext_base,9,4,0.5485863615287824,0.7707865168539326,0.7027027027027027,0.7678571428571429
convnext_base,9,5,0.5175080406531859,0.7921348314606742,0.7477477477477478,0.75
convnext_base,9,6,0.4880126048339887,0.7921348314606742,0.7027027027027027,0.7321428571428571
convnext_base,9,7,0.42229776469509256,0.8617977528089887,0.6936936936936937,0.7053571428571429
convnext_base,9,8,0.3729644709088829,0.9179775280898876,0.6936936936936937,0.6964285714285714
convnext_base,9,9,0.28908203826861434,0.9483146067415731,0.6756756756756757,0.6785714285714286
convnext_base,9,10,0.21044312836079115,0.9539325842696629,0.6756756756756757,0.6875
convnext_base,9,11,0.19295734401499287,0.9752808988764045,0.6486486486486487,0.6339285714285714
convnext_base,9,12,0.15277955890371558,0.9820224719101124,0.6486486486486487,0.6071428571428571
convnext_base,9,13,0.10772314960702081,0.9887640449438202,0.6756756756756757,0.6875
convnext_base,1,1,0.6180706472879045,0.7314606741573034,0.6306306306306306,0.75
convnext_base,1,2,0.5785190282243021,0.7370786516853932,0.6666666666666666,0.7589285714285714
convnext_base,1,3,0.5523161529824975,0.7617977528089888,0.6666666666666666,0.7142857142857143
convnext_base,1,4,0.5059313050816568,0.8033707865168539,0.6756756756756757,0.6964285714285714
convnext_base,1,5,0.4533695320734817,0.848314606741573,0.6756756756756757,0.6785714285714286
convnext_base,1,1,0.6180706472879045,0.7314606741573034,0.6306306306306306,0.75
convnext_base,1,2,0.5785190282243021,0.7370786516853932,0.6666666666666666,0.7589285714285714
convnext_base,1,3,0.5523161529824975,0.7617977528089888,0.6666666666666666,0.7142857142857143
convnext_base,1,4,0.5059313050816568,0.8033707865168539,0.6756756756756757,0.6964285714285714
convnext_base,1,5,0.4533695320734817,0.848314606741573,0.6756756756756757,0.6785714285714286
convnext_base,1,6,0.40040398179815057,0.8820224719101124,0.6306306306306306,0.6696428571428571
convnext_base,1,7,0.3464228343427851,0.9235955056179775,0.6306306306306306,0.6964285714285714
convnext_base,1,8,0.25535275008571284,0.9516853932584269,0.6126126126126126,0.6785714285714286
convnext_base,1,9,0.1932457610127631,0.9764044943820225,0.6396396396396397,0.7053571428571429
convnext_base,1,10,0.15512220846133284,0.9808988764044944,0.6576576576576577,0.6607142857142857
convnext_base,1,11,0.14097935363148037,0.9898876404494382,0.6486486486486487,0.625
convnext_base,1,12,0.10456518987926204,0.9865168539325843,0.6756756756756757,0.6339285714285714
convnext_base,1,13,0.09680639667792267,0.9853932584269663,0.6396396396396397,0.6607142857142857
convnext_base,1,14,0.07893495027268871,0.9943820224719101,0.6486486486486487,0.6339285714285714
convnext_base,1,15,0.08081659507215692,0.9943820224719101,0.6576576576576577,0.6785714285714286
convnext_base,1,16,0.1019872807887163,0.9943820224719101,0.6306306306306306,0.6517857142857143
convnext_base,1,17,0.06207236861077587,0.996629213483146,0.6576576576576577,0.6785714285714286
convnext_base,1,18,0.056032953176940424,0.9955056179775281,0.6036036036036037,0.6428571428571429
convnext_base,1,19,0.04473755544239885,0.9977528089887641,0.5945945945945946,0.6160714285714286
convnext_base,2,1,0.6426739786448104,0.7269662921348314,0.6936936936936937,0.7410714285714286
convnext_base,2,2,0.5855561869867733,0.7471910112359551,0.6576576576576577,0.7321428571428571
convnext_base,2,3,0.5430991381741641,0.7640449438202247,0.5945945945945946,0.7053571428571429
convnext_base,2,4,0.5116533245263475,0.7910112359550562,0.6756756756756757,0.7053571428571429
convnext_base,2,5,0.4701127155443256,0.8471910112359551,0.6306306306306306,0.7053571428571429
convnext_base,2,6,0.4294096228111996,0.8831460674157303,0.6486486486486487,0.6875
convnext_base,2,7,0.3726015904646241,0.9067415730337078,0.6576576576576577,0.6964285714285714
convnext_base,2,8,0.3220577382304695,0.9382022471910112,0.6126126126126126,0.6607142857142857
convnext_base,2,9,0.24092330691519748,0.9595505617977528,0.6396396396396397,0.6696428571428571
convnext_base,2,10,0.19601937458756263,0.9696629213483146,0.6126126126126126,0.7232142857142857
convnext_base,2,11,0.15559045350953435,0.9786516853932584,0.6396396396396397,0.7142857142857143
convnext_base,2,12,0.12549408098285117,0.9808988764044944,0.6216216216216216,0.6875
convnext_base,2,13,0.12281281191311526,0.9797752808988764,0.6036036036036037,0.6517857142857143
convnext_base,2,14,0.09641181593865492,0.9865168539325843,0.6216216216216216,0.6875
convnext_base,2,15,0.08673824759179287,0.9876404494382023,0.6396396396396397,0.7321428571428571
convnext_base,2,16,0.07594345539305987,0.9865168539325843,0.6666666666666666,0.7321428571428571
convnext_base,3,1,0.6307848236534033,0.7370786516853932,0.5765765765765766,0.6785714285714286
convnext_base,3,2,0.5505095840839858,0.749438202247191,0.6126126126126126,0.6607142857142857
convnext_base,3,3,0.5107066514116995,0.7853932584269663,0.6486486486486487,0.6339285714285714
convnext_base,3,4,0.4796218892161766,0.7865168539325843,0.6126126126126126,0.6607142857142857
convnext_base,3,5,0.45436207364114484,0.8393258426966292,0.6396396396396397,0.6696428571428571
convnext_base,3,6,0.38413063461860913,0.8853932584269663,0.6576576576576577,0.6428571428571429
convnext_base,3,7,0.3296760561760892,0.9247191011235955,0.6036036036036037,0.625
convnext_base,3,8,0.2703385415037027,0.9247191011235955,0.6306306306306306,0.6517857142857143
convnext_base,3,9,0.23193737563122524,0.9617977528089887,0.6576576576576577,0.6517857142857143
convnext_base,3,10,0.18033614319361999,0.9741573033707865,0.6126126126126126,0.6517857142857143
convnext_base,3,11,0.115155517803819,0.9831460674157303,0.6576576576576577,0.6071428571428571
convnext_base,3,12,0.11018834974658623,0.9831460674157303,0.6126126126126126,0.6071428571428571
convnext_base,3,13,0.08760791502139542,0.9865168539325843,0.5945945945945946,0.6339285714285714
convnext_base,3,14,0.09596777020880345,0.9842696629213483,0.5765765765765766,0.625
convnext_base,3,15,0.0968243833840563,0.9876404494382023,0.6306306306306306,0.6339285714285714
convnext_base,2,16,0.07594345539305987,,0.6936936936936937,0.7410714285714286
convnext_base,5,20,0.08533813879730996,,0.7657657657657657,0.75
